Altium Designer Pick and Place Locations
E:\GitProject\ArmDebuger\PCB\231009_ArmDebuger_V0.5(LHS)\Project Outputs for ArmDebuger_V0.5\Pick Place for ArmDebuger.csv

========================================================================================================================
File Design Information:

Date:       10/10/23
Time:       17:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"ED5","KESD3.3V52D-C","BottomLayer","SOD-523","9.6266","8.7630","90",""
"ED8","KESD3.3V52D-C","BottomLayer","SOD-523","23.7490","8.7630","90",""
"ED7","KESD3.3V52D-C","BottomLayer","SOD-523","21.7678","8.7630","90",""
"ED6","KESD3.3V52D-C","BottomLayer","SOD-523","14.7066","8.7630","90",""
"ED4","KESD3.3V52D-C","BottomLayer","SOD-523","19.7866","8.7630","90",""
"ED3","KESD3.3V52D-C","BottomLayer","SOD-523","17.2466","8.7630","90",""
"ED2","KESD3.3V52D-C","BottomLayer","SOD-523","12.1666","8.7630","90",""
"ED1","KESD3.3V52D-C","BottomLayer","SOD-523","7.0866","8.7630","90",""
"JP5","HEADER9","BottomLayer","Header-1x9","17.2555","5.2722","180",""
"C54","106/X5R/10V","BottomLayer","0402C-SMD-M","27.1809","8.4510","90",""
"C53","106/X5R/10V","BottomLayer","0402C-SMD-M","28.2085","8.4510","90",""
"C52","106/X5R/10V","BottomLayer","0402C-SMD-M","26.1534","8.4510","90",""
"C51","106/X5R/10V","BottomLayer","0402C-SMD-M","25.1259","8.4510","90",""
"C50","106/X5R/10V","TopLayer","0402C-SMD-M","29.7207","26.8478","270",""
"C49","106/X5R/10V","TopLayer","0402C-SMD-M","29.7180","28.5496","90",""
"F2","FUSE  6V/500mA","TopLayer","0805R-SMD-M","25.4002","8.1681","180",""
"U9","ME6211C33","TopLayer","SOT-23-5","30.9973","7.2687","180",""
"U10","RS2255XN","BottomLayer","MSOP-10-L","17.4770","19.4648","0",""
"R27","10K","BottomLayer","0402R-SMD-M","3.7084","17.7910","0",""
"C45","104/X7R/16V","TopLayer","0402C-SMD-M","33.5534","10.3717","180",""
"C47","106/X5R/10V","TopLayer","0402C-SMD-M","27.3591","8.2003","90",""
